Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,3,0.31,0.01,0.3666253512638147
100% Corpus,3,0.31,0.31,0.4621227707152419
100% Corpus,3,0.31,0.61,0.4237823293046028
100% Corpus,3,0.31,0.9099999999999999,0.4252793685689996
100% Corpus,3,0.31,symmetric,0.4007722315775319
100% Corpus,3,0.61,0.01,0.3422526093086719
100% Corpus,3,0.61,0.31,0.3845482656515575
100% Corpus,3,0.61,0.61,0.4500921212243861
100% Corpus,3,0.61,0.9099999999999999,0.49553803943391717
100% Corpus,3,0.61,symmetric,0.37394102616011426
100% Corpus,3,0.9099999999999999,0.01,0.34608650742883873
100% Corpus,3,0.9099999999999999,0.31,0.41805336209804633
100% Corpus,3,0.9099999999999999,0.61,0.432227005145136
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.4544167138216005
100% Corpus,3,0.9099999999999999,symmetric,0.39662874499592826
100% Corpus,3,symmetric,0.01,0.3578110248459364
100% Corpus,3,symmetric,0.31,0.44804150145025
100% Corpus,3,symmetric,0.61,0.4578119682714526
100% Corpus,3,symmetric,0.9099999999999999,0.38185532346066664
100% Corpus,3,symmetric,symmetric,0.3546426700880573
100% Corpus,3,asymmetric,0.01,0.37321857744810555
100% Corpus,3,asymmetric,0.31,0.3911825773459754
